BidderTestPositivePaceMultiplier1_1655920901.9255612 : (200, '5900', '22657')
BidderTestPositivePaceMultiplier5_1655920901.9255612 : (204, 0, 0)
BidderTestPositivePaceMultiplier5_1655920901.9255612 : (200, '5900', '990')
BidderTestPositivePaceMultiplier10_1655920901.9255612 : (200, '5900', '990')
BidderTestPositivePaceMultiplier0_1655920901.9255612 : (204, 0, 0)
BidderTestPositivePaceMultiplier1_1655921149.97783 : (200, '5900', '22657')
BidderTestPositivePaceMultiplier1_1655921256.2508779 : (204, 0, 0)
BidderTestPositiveHightAndWidthAvailable_1655921962.152412 : (204, 0, 0)
BidderTestPositiveHightAndWidthAvailable_1655921962.152412 : (200, '9999', '22657')
BidderTestNegativeHightAvailableWidthnotAvailable_1655921962.152412 : (204, 0, 0)
BidderTestNegativeHightNotAvailableWidthAvailable_1655921962.152412 : (204, 0, 0)
BidderTestNegativeHightWidthNotAvailable_1655921962.152412 : (204, 0, 0)
BidderTestPositivePaceMultiplier5_1655922469.5161002 : (204, 0, 0)
BidderTestPositivePaceMultiplier5_1655922469.5161002 : (200, '5900', '22657')
BidderTestPositivePaceMultiplier5_1655922782.879562 : (200, '9998', '22657')
