BidderTestPositivePaceMultiplier1 : (200, '5900', '990') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier5 : (200, '5901', '4950') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier10 : (200, '5902', '9900') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier0 : (204, 0, 0) : Pass/Fail :Pass
BidderTestPositiveHightAndWidthAvailable : (200, '5904', '109909') : Pass/Fail :Pass
BidderTestNegativeHightAvailableWidthnotAvailable : (200, '5905', '990') : Pass/Fail :Pass
BidderTestNegativeHightNotAvailableWidthAvailable : (200, '5906', '990') : Pass/Fail :Pass
BidderTestNegativeHightWidthNotAvailable : (200, '5907', '990') : Pass/Fail :Pass
BidderHouseholdThresholdsetto1 : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdThresholdsetto0 : (200, '5909', '990') : Pass/Fail :Pass
BidderHouseholdThresholdsetto2 : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdScoreGreaterThenThreshold : (200, '5911', '990') : Pass/Fail :Pass
BidderHouseholdScoreLessThenThreshold : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdScoreEqualToThreshold : (200, '5913', '990') : Pass/Fail :Pass
BidderPublisherScoreEqualTo1 : (200, '5914', '990') : Pass/Fail :Pass
BidderPublisherScoreEqualTo0 : (200, '5915', '990') : Pass/Fail :Pass
BidderPublisherScoreequalto5 : (200, '5916', '990') : Pass/Fail :Pass
BidderPublisherThresholdGreaterthanscore : (200, '5917', '990') : Pass/Fail :Pass
BidderPublisherThresholdLessthanscore : (200, '5918', '990') : Pass/Fail :Pass
BidderPublisherThresholdEqualtoscore : (200, '5919', '990') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto1 : (200, '5920', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto0 : (200, '5921', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto5 : (200, '5922', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdGreaterThanScore : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityThresholdLessThenScore : (200, '5924', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualtoScore : (200, '5925', '1090') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChn1 : (200, '5925', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChn1Neg : (204, 0, 0) : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsObjNot4 : (200, '5927', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChnlto8 : (200, '5928', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChnlto8Obj2 : (200, '5929', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualtotime : (200, '5930', '9001') : Pass/Fail :Pass
BidderRecencyThresholdforchannel8Obj1 : (200, '5931', '9001') : Pass/Fail :Pass
BidderHouseholdandViewabilityThSet : (200, '5932', '9001') : Pass/Fail :Pass
BidderHouseholdScoreLesstheTh&ViewabilityTHnotmet : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityScoreLesstheTh&ViewabilityTHnotmet : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityAndHouseHoldScoreLesstheTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSet : (200, '5936', '9001') : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSetRecencyScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSetHHScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSetViewScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderDefaultWidthAndHight : (204, 0, 0) : Pass/Fail :Pass
