testCase , TestResultsPass/FailBidderTestPositivePaceMultiplier1 , (200, '5900', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestPositivePaceMultiplier5 , (200, '5901', '4950') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestPositivePaceMultiplier10 , (200, '5902', '9900') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestPositivePaceMultiplier0 , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestPositiveHightAndWidthAvailable , (200, '5904', '109909') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestNegativeHightAvailableWidthnotAvailable , (200, '5905', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestNegativeHightNotAvailableWidthAvailable , (200, '5906', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderTestNegativeHightWidthNotAvailable , (200, '5907', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdThresholdsetto1 , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdThresholdsetto0 , (200, '5909', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdThresholdsetto2 , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdScoreGreaterThenThreshold , (200, '5911', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdScoreLessThenThreshold , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdScoreEqualToThreshold , (200, '5913', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherScoreEqualTo1 , (200, '5914', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherScoreEqualTo0 , (200, '5915', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherScoreequalto5 , (200, '5916', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherThresholdGreaterthanscore , (200, '5917', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherThresholdLessthanscore , (200, '5918', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderPublisherThresholdEqualtoscore , (200, '5919', '990') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdEqualto1 , (200, '5920', '1090') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdEqualto0 , (200, '5921', '1090') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdEqualto5 , (200, '5922', '1090') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdGreaterThanScore , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdLessThenScore , (200, '5924', '1090') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityThresholdEqualtoScore , (200, '5925', '1090') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualto10minsChn1 , (200, '5925', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualto10minsChn1Neg , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualto10minsObjNot4 , (200, '5927', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualto10minsChnlto8 , (200, '5928', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualto10minsChnlto8Obj2 , (200, '5929', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdEqualtotime , (200, '5930', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderRecencyThresholdforchannel8Obj1 , (200, '5931', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdandViewabilityThSet , (200, '5932', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderHouseholdScoreLesstheTh&ViewabilityTHnotmet , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityScoreLesstheTh&ViewabilityTHnotmet , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewabilityAndHouseHoldScoreLesstheTh , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewHouseHoldAndRecencyThSet , (200, '5936', '9001') , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewHouseHoldAndRecencyThSetRecencyScoreLessThenTh , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewHouseHoldAndRecencyThSetHHScoreLessThenTh , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderViewHouseHoldAndRecencyThSetViewScoreLessThenTh , (204, 0, 0) , Pass/Fail :Pass
testCase , TestResultsPass/FailBidderDefaultWidthAndHight , (204, 0, 0) , Pass/Fail :Pass
